student_id,gender,year_of_study,department,sleep_time,wake_up_time,alarm_usage,morning_productivity,night_productivity,cleanliness_score,room_organization_level,noise_tolerance,study_noise_preference,fan_or_cooler_preference,study_habit,daily_study_hours,food_preference,exam_preparation_style,introvert_extrovert_score,social_frequency,relationship_status,smoking_drinking,workout,gaming,anime,room_stay_duration,career_interest,cult_sports,language
2067,female,1,AI,4,8,1,6,9,3,3,10,cafe_noise,cooler,regular,4,non_veg,group_study,6,low,committed,0,0,1,1,17,civil,both,Dont Care
2068,female,4,MNC,1,7,1,6,9,3,3,3,cafe_noise,cooler,night_before,2,veg,last_minute,8,high,single,0,1,0,0,18,robotics,sports,Tamil
2069,female,3,CSE,22,7,1,2,6,10,0,8,light_music,fan,night_before,2,veg,last_minute,8,low,committed,0,0,1,0,14,electronics,none,English
2070,female,1,ME,4,7,1,8,6,4,4,6,cafe_noise,cooler,night_before,0,veg,group_study,0,medium,committed,0,1,0,0,19,robotics,cultural,Multilingual
2071,male,4,EEE,4,7,0,5,10,0,8,1,silence,cooler,exam_crammer,2,non_veg,group_study,6,high,single,0,0,0,0,14,electronics,none,Dont Care
2072,female,2,Others,1,5,1,6,5,6,9,2,silence,fan,exam_crammer,4,veg,group_study,2,medium,single,0,0,0,0,13,management,both,Hindi
2073,male,1,ECE,2,7,1,6,7,10,1,1,silence,cooler,exam_crammer,3,veg,last_minute,10,low,single,0,0,0,0,10,electronics,none,Multilingual
2074,male,3,Metallurgy,0,8,0,0,7,7,2,3,cafe_noise,cooler,night_before,6,non_veg,early_planner,3,high,committed,0,0,0,0,16,mechanical,both,Dont Care
2075,female,4,Civil,0,9,1,2,7,3,9,9,cafe_noise,fan,exam_crammer,6,veg,last_minute,6,medium,single,0,0,0,0,12,robotics,both,English
2076,female,4,Others,1,7,1,3,9,1,10,9,light_music,cooler,regular,7,veg,early_planner,3,medium,committed,0,1,0,0,17,robotics,sports,English
2077,male,1,ME,0,8,1,2,7,5,8,0,light_music,fan,night_before,0,non_veg,last_minute,9,high,committed,0,0,1,0,22,electronics,cultural,Multilingual
2078,male,3,ME,2,7,1,2,0,9,4,3,light_music,cooler,regular,0,veg,group_study,6,medium,single,0,0,0,1,10,mechanical,sports,Multilingual
2079,male,4,Others,22,7,0,10,9,7,5,5,silence,cooler,exam_crammer,0,veg,group_study,4,medium,committed,0,0,1,0,17,ai_ml,both,Telugu
2080,male,1,MNC,4,8,0,2,9,10,7,5,light_music,fan,regular,8,veg,last_minute,3,high,single,1,0,0,1,13,ai_ml,sports,English
2081,male,2,ECE,22,7,1,9,7,9,10,0,silence,cooler,regular,3,veg,early_planner,8,medium,single,1,0,0,0,19,civil,sports,Tamil
2082,female,2,MNC,4,6,1,7,4,8,0,10,light_music,cooler,night_before,1,veg,last_minute,6,medium,single,0,0,1,1,17,robotics,cultural,Multilingual
2083,male,2,Metallurgy,0,10,1,7,9,3,5,5,silence,cooler,regular,3,non_veg,group_study,5,medium,single,0,0,0,0,11,robotics,both,Hindi
2084,male,1,ECE,2,9,1,0,9,7,9,2,light_music,cooler,regular,4,veg,group_study,10,medium,committed,0,1,0,1,14,civil,cultural,English
2085,female,3,ME,1,9,1,10,4,2,1,1,cafe_noise,cooler,regular,3,non_veg,early_planner,7,low,committed,0,0,1,0,10,mechanical,both,Dont Care
2086,female,4,ECE,22,5,1,2,1,8,6,4,silence,cooler,exam_crammer,2,veg,early_planner,4,high,committed,0,1,0,0,10,management,cultural,Hindi
2087,male,3,Civil,0,8,1,2,9,4,4,9,silence,fan,night_before,5,non_veg,group_study,3,medium,single,0,0,0,0,16,management,cultural,Tamil
2088,male,2,ECE,3,8,1,2,9,0,4,4,silence,cooler,exam_crammer,4,veg,last_minute,8,high,single,0,0,0,0,9,management,both,Telugu
2089,female,2,Civil,23,9,1,0,10,6,5,0,light_music,fan,exam_crammer,7,veg,last_minute,2,medium,single,0,1,1,0,12,civil,both,Telugu
2090,male,2,EEE,4,8,0,2,9,7,8,5,light_music,fan,night_before,2,non_veg,group_study,4,medium,committed,0,0,0,0,12,mechanical,sports,Telugu
2091,female,1,Civil,22,9,1,8,6,3,2,10,cafe_noise,cooler,night_before,3,non_veg,group_study,0,medium,committed,0,0,0,0,20,civil,sports,Multilingual
2092,female,4,MNC,3,10,1,7,9,6,5,7,cafe_noise,cooler,regular,4,non_veg,group_study,10,high,single,0,0,1,1,8,management,both,Hindi
2093,female,1,Others,1,7,0,3,8,9,1,9,light_music,cooler,night_before,0,non_veg,group_study,5,high,single,0,1,0,0,8,management,sports,Tamil
2094,male,2,Others,0,10,1,8,6,5,2,7,cafe_noise,fan,night_before,0,veg,group_study,6,high,committed,0,0,1,1,8,electronics,both,Dont Care
2095,male,2,ECE,23,9,0,6,8,4,8,10,silence,cooler,regular,2,veg,group_study,10,low,committed,1,0,1,1,9,software,cultural,Hindi
2096,female,2,Others,0,7,0,7,0,5,10,8,silence,fan,exam_crammer,3,non_veg,early_planner,10,high,single,0,0,0,1,12,management,both,Telugu
2097,female,3,ECE,3,5,1,3,8,0,8,7,light_music,fan,night_before,5,veg,last_minute,3,high,single,0,0,0,0,17,mechanical,cultural,Multilingual
2098,female,2,Others,0,8,1,1,9,5,1,3,cafe_noise,cooler,exam_crammer,4,non_veg,group_study,5,low,committed,0,0,0,0,19,mechanical,sports,Tamil
2099,male,3,EEE,1,9,1,3,9,6,10,5,silence,fan,night_before,4,non_veg,group_study,10,high,single,0,0,0,0,9,ai_ml,none,Hindi
2100,female,4,MNC,22,9,0,9,3,3,6,3,silence,fan,exam_crammer,3,non_veg,last_minute,0,high,single,0,0,0,1,9,mechanical,none,Dont Care
2101,female,4,AI,1,10,1,7,9,2,0,1,light_music,fan,exam_crammer,0,veg,group_study,10,medium,committed,0,0,0,0,15,management,cultural,Telugu
2102,female,1,Others,22,7,1,8,10,10,9,4,light_music,fan,night_before,3,veg,last_minute,7,medium,committed,0,0,1,0,10,software,none,English
2103,female,1,MNC,0,9,0,3,3,4,4,5,cafe_noise,cooler,exam_crammer,4,veg,last_minute,10,high,single,0,0,0,1,11,management,both,Multilingual
2104,female,3,ECE,1,10,1,9,10,4,2,10,cafe_noise,fan,exam_crammer,6,veg,last_minute,4,medium,committed,0,1,0,0,10,ai_ml,both,Telugu
2105,male,1,MNC,1,5,1,4,7,0,6,3,cafe_noise,cooler,exam_crammer,4,veg,group_study,5,low,committed,0,1,0,0,13,management,both,English
2106,male,4,EEE,2,8,1,3,6,0,6,8,light_music,cooler,night_before,4,veg,group_study,1,medium,single,0,0,0,0,17,robotics,both,Telugu
2107,male,1,Civil,23,9,0,2,7,7,10,8,silence,fan,exam_crammer,2,non_veg,group_study,7,high,single,0,0,0,0,19,electronics,both,English
2108,male,2,AI,2,6,1,6,8,1,8,6,silence,cooler,night_before,1,veg,last_minute,0,medium,committed,0,0,1,1,14,robotics,cultural,Dont Care
2109,female,3,MNC,1,6,1,4,6,2,6,5,cafe_noise,cooler,regular,6,non_veg,early_planner,2,medium,committed,1,0,0,1,17,robotics,cultural,Telugu
2110,female,4,AI,2,9,1,7,8,1,9,1,cafe_noise,cooler,exam_crammer,3,veg,group_study,5,low,single,0,0,1,1,14,electronics,sports,Tamil
2111,male,2,MNC,0,9,1,3,6,0,4,0,silence,cooler,night_before,5,veg,last_minute,4,high,committed,0,0,0,0,14,electronics,both,Dont Care
2112,female,2,Metallurgy,0,5,0,2,6,5,4,4,silence,cooler,night_before,5,non_veg,last_minute,1,high,committed,0,0,1,0,12,ai_ml,sports,Dont Care
2113,male,1,MNC,22,7,1,8,10,10,1,4,silence,cooler,regular,3,veg,group_study,0,medium,committed,1,1,0,1,15,ai_ml,sports,Dont Care
2114,female,3,Metallurgy,22,9,1,10,9,7,8,8,light_music,fan,night_before,1,non_veg,last_minute,2,medium,committed,0,1,0,1,13,ai_ml,sports,Hindi
2115,female,4,MNC,0,7,0,1,8,5,2,3,silence,cooler,night_before,5,veg,group_study,7,medium,committed,0,1,0,1,10,robotics,cultural,Tamil
2116,female,1,ECE,23,8,0,0,9,2,5,7,silence,fan,exam_crammer,1,non_veg,early_planner,5,high,committed,0,0,1,0,9,civil,sports,Multilingual
2117,male,2,MNC,1,7,1,6,7,1,10,7,cafe_noise,cooler,exam_crammer,1,non_veg,last_minute,7,medium,committed,0,1,0,1,9,management,both,Dont Care
2118,male,1,Civil,3,10,0,4,8,6,10,7,cafe_noise,cooler,night_before,0,non_veg,early_planner,8,low,committed,0,0,0,1,13,electronics,both,Tamil
2119,male,3,Metallurgy,2,9,0,0,9,3,4,5,light_music,cooler,night_before,4,non_veg,group_study,6,medium,committed,1,0,0,1,18,mechanical,sports,Dont Care
2120,male,3,Civil,23,8,1,9,7,9,5,7,cafe_noise,cooler,exam_crammer,9,veg,group_study,8,high,single,0,0,0,1,18,robotics,both,Multilingual
2121,female,2,EEE,1,10,1,10,8,2,3,8,silence,fan,regular,3,veg,early_planner,4,high,committed,0,0,1,0,8,civil,both,Hindi
2122,female,3,AI,22,8,0,10,7,2,4,4,cafe_noise,cooler,regular,6,veg,last_minute,9,low,single,1,0,1,0,20,management,sports,Hindi
2123,female,3,EEE,3,5,1,5,4,3,10,3,silence,cooler,exam_crammer,3,non_veg,early_planner,10,high,single,0,0,0,1,12,mechanical,sports,Telugu
2124,female,2,ECE,22,5,1,10,7,8,7,9,cafe_noise,cooler,night_before,0,veg,group_study,0,high,committed,0,1,0,0,13,robotics,sports,Multilingual
2125,female,1,MNC,23,10,1,10,5,7,0,7,light_music,fan,regular,5,veg,last_minute,8,low,single,0,0,0,0,15,mechanical,cultural,Dont Care
2126,male,1,EEE,1,7,1,2,8,3,3,0,silence,cooler,regular,4,non_veg,early_planner,6,low,committed,0,0,0,1,14,civil,both,Dont Care
2127,male,4,MNC,0,9,1,2,2,0,3,9,cafe_noise,fan,night_before,5,veg,group_study,5,high,committed,1,1,0,0,19,civil,none,Telugu
2128,female,2,ME,0,7,1,7,7,5,9,10,light_music,fan,regular,4,veg,last_minute,8,medium,committed,0,0,1,0,17,electronics,both,Telugu
2129,male,4,Others,22,9,1,4,0,7,0,3,silence,fan,night_before,1,veg,early_planner,8,high,committed,0,0,0,0,19,civil,sports,Telugu
2130,male,1,CSE,1,9,1,8,6,0,7,6,cafe_noise,cooler,regular,2,non_veg,early_planner,8,medium,single,0,0,0,1,11,software,sports,Hindi
2131,male,3,ECE,3,10,0,10,7,7,3,7,light_music,cooler,night_before,2,veg,early_planner,0,medium,committed,0,1,0,0,10,civil,none,Tamil
2132,female,1,Civil,2,7,0,1,6,4,0,5,light_music,fan,exam_crammer,3,non_veg,group_study,1,high,committed,0,1,1,0,13,electronics,cultural,Dont Care
2133,female,3,ECE,2,7,0,10,5,2,10,9,cafe_noise,cooler,exam_crammer,5,non_veg,early_planner,6,low,single,0,0,0,0,14,management,both,Telugu
2134,female,1,EEE,0,6,1,9,7,4,7,9,cafe_noise,cooler,regular,2,non_veg,group_study,6,high,committed,0,0,1,0,13,electronics,none,English
2135,female,3,EEE,23,9,1,5,10,0,8,1,cafe_noise,fan,exam_crammer,1,veg,group_study,0,low,committed,0,0,0,0,15,robotics,both,Telugu
2136,female,4,ECE,1,9,1,10,7,10,1,1,light_music,fan,exam_crammer,4,veg,early_planner,7,high,committed,0,0,0,1,14,electronics,cultural,Multilingual
2137,male,2,ECE,22,10,1,3,6,9,9,5,light_music,fan,exam_crammer,0,veg,last_minute,5,medium,single,0,0,0,0,8,electronics,cultural,Dont Care
2138,male,3,Others,1,9,1,0,0,3,6,10,light_music,fan,night_before,5,veg,early_planner,7,medium,single,0,0,0,0,11,mechanical,none,Multilingual
2139,male,2,Metallurgy,4,10,0,1,10,6,10,3,silence,fan,exam_crammer,0,veg,early_planner,7,high,single,1,0,0,0,17,civil,none,Telugu
2140,male,1,Metallurgy,4,10,0,2,10,7,6,1,cafe_noise,fan,night_before,5,veg,early_planner,8,medium,committed,0,1,1,0,10,management,both,Dont Care
2141,male,1,Civil,23,10,0,2,9,9,6,10,light_music,cooler,regular,1,veg,group_study,7,low,single,0,0,0,0,19,ai_ml,both,Dont Care
2142,female,2,AI,22,9,1,4,5,0,3,2,silence,cooler,exam_crammer,5,veg,last_minute,8,low,single,0,0,1,0,17,mechanical,both,English
2143,male,2,Others,4,7,0,4,8,0,2,6,cafe_noise,fan,exam_crammer,1,non_veg,early_planner,7,medium,single,0,0,0,0,19,civil,both,Dont Care
2144,male,1,Civil,23,8,0,10,7,7,2,3,cafe_noise,cooler,regular,2,veg,last_minute,9,medium,committed,0,0,1,0,8,management,sports,Multilingual
2145,male,3,MNC,2,9,1,0,9,9,6,8,cafe_noise,cooler,regular,3,non_veg,group_study,8,medium,committed,1,0,0,0,17,robotics,none,English
2146,male,4,EEE,0,10,0,4,1,3,10,8,silence,cooler,regular,1,veg,early_planner,9,high,single,0,0,0,0,11,software,sports,Telugu
2147,male,3,AI,3,7,1,2,6,6,8,6,silence,cooler,exam_crammer,3,veg,last_minute,6,low,single,0,1,0,0,11,robotics,cultural,Multilingual
2148,female,4,ME,0,7,1,4,0,1,7,1,cafe_noise,cooler,night_before,2,veg,group_study,6,low,committed,1,0,1,0,13,management,sports,English
2149,male,4,ECE,22,8,0,2,10,3,9,4,light_music,fan,exam_crammer,1,non_veg,last_minute,10,medium,committed,0,0,1,0,19,management,both,Telugu
2150,male,1,EEE,1,9,1,2,3,4,8,2,light_music,fan,regular,3,non_veg,last_minute,9,high,single,0,0,0,0,10,software,sports,Multilingual
2151,male,3,ECE,0,7,1,6,7,2,6,3,cafe_noise,cooler,regular,3,non_veg,early_planner,7,high,single,0,0,1,0,14,civil,cultural,Telugu
2152,female,1,EEE,4,7,0,6,10,0,3,4,light_music,cooler,exam_crammer,1,non_veg,early_planner,7,low,committed,0,0,0,0,12,management,none,Telugu
2153,female,2,EEE,2,8,0,3,4,6,10,0,light_music,fan,exam_crammer,9,non_veg,last_minute,3,medium,single,0,0,0,0,16,electronics,sports,Tamil
2154,male,3,Metallurgy,1,10,1,7,9,6,10,9,cafe_noise,cooler,regular,5,non_veg,group_study,4,low,single,0,0,0,0,17,mechanical,none,English
2155,male,3,ME,1,8,0,10,10,0,9,3,silence,cooler,exam_crammer,2,veg,early_planner,0,medium,committed,0,1,0,0,14,electronics,both,Hindi
2156,female,2,Others,2,7,1,1,10,7,3,3,cafe_noise,cooler,night_before,7,veg,last_minute,10,medium,committed,0,0,0,0,10,civil,none,English
2157,male,2,AI,2,10,1,10,6,3,4,8,silence,cooler,night_before,1,non_veg,early_planner,7,high,single,0,0,1,0,14,management,cultural,English
2158,male,2,ECE,0,8,1,3,6,8,6,4,light_music,cooler,exam_crammer,5,non_veg,early_planner,0,medium,single,0,0,0,0,16,management,sports,Dont Care
2159,male,1,MNC,23,10,1,5,8,6,2,9,light_music,cooler,regular,3,veg,group_study,0,medium,committed,0,1,1,0,12,ai_ml,sports,Tamil
2160,male,1,ME,3,5,1,7,3,7,0,1,cafe_noise,cooler,exam_crammer,3,non_veg,last_minute,6,medium,committed,0,0,0,0,9,mechanical,sports,Dont Care
2161,male,3,CSE,2,6,1,0,6,6,7,8,silence,cooler,exam_crammer,5,non_veg,group_study,4,high,single,0,0,0,1,14,civil,both,Multilingual
2162,male,2,Metallurgy,22,7,0,4,9,2,2,5,silence,cooler,night_before,2,non_veg,group_study,8,medium,committed,0,0,1,1,17,management,sports,English
2163,female,2,EEE,23,7,1,2,7,4,9,7,cafe_noise,fan,regular,3,veg,early_planner,7,high,single,0,1,0,0,13,ai_ml,both,Hindi
2164,female,1,Metallurgy,22,9,1,0,9,4,10,3,cafe_noise,cooler,night_before,4,veg,last_minute,3,low,single,1,0,1,1,15,robotics,both,Hindi
2165,female,2,AI,2,10,0,3,10,8,10,7,cafe_noise,fan,regular,5,non_veg,last_minute,7,high,committed,0,0,0,0,8,mechanical,cultural,Hindi
2166,male,3,ECE,1,8,1,0,7,3,5,0,light_music,cooler,exam_crammer,3,veg,last_minute,2,high,committed,0,1,1,1,16,management,sports,English
2167,female,3,CSE,1,7,0,4,10,4,9,7,silence,cooler,exam_crammer,8,non_veg,last_minute,0,high,committed,1,0,0,0,21,management,none,Dont Care
2168,female,1,CSE,3,7,1,9,0,10,2,3,light_music,cooler,regular,3,veg,last_minute,7,medium,committed,0,0,1,1,14,electronics,cultural,Hindi
2169,female,3,ME,4,6,0,2,8,0,5,9,light_music,cooler,night_before,3,non_veg,group_study,8,medium,committed,0,0,0,1,15,civil,cultural,Telugu
2170,male,3,Metallurgy,0,7,0,1,7,4,6,7,cafe_noise,fan,exam_crammer,2,veg,last_minute,8,medium,committed,0,1,1,0,20,software,none,Hindi
2171,female,4,ME,23,8,1,1,2,9,2,0,cafe_noise,cooler,regular,0,non_veg,early_planner,2,medium,single,0,1,0,1,9,civil,sports,Telugu
2172,female,2,CSE,1,9,1,4,6,6,4,2,silence,fan,exam_crammer,2,veg,group_study,3,low,single,0,0,0,1,16,civil,cultural,Hindi
