student_id,gender,year_of_study,department,sleep_time,wake_up_time,alarm_usage,morning_productivity,night_productivity,cleanliness_score,room_organization_level,noise_tolerance,study_noise_preference,fan_or_cooler_preference,study_habit,daily_study_hours,food_preference,exam_preparation_style,introvert_extrovert_score,social_frequency,relationship_status,smoking_drinking,workout,gaming,anime,room_stay_duration,career_interest,cult_sports,language
1012,male,1,MNC,2,9,1,5,10,7,9,0,silence,cooler,regular,7,veg,last_minute,6,medium,committed,0,0,0,1,14,civil,sports,Dont Care
1013,male,2,Others,0,6,0,6,9,7,6,6,silence,cooler,regular,4,veg,last_minute,4,high,single,0,1,1,0,20,mechanical,cultural,Telugu
1014,male,3,Others,0,8,0,3,7,7,5,6,light_music,cooler,regular,6,veg,group_study,1,medium,single,0,0,0,0,14,civil,cultural,Tamil
1015,female,1,Civil,0,6,0,6,6,2,1,3,cafe_noise,cooler,regular,7,veg,group_study,5,high,committed,0,1,1,0,13,electronics,cultural,Dont Care
1016,male,2,CSE,23,9,1,4,6,9,9,8,silence,cooler,exam_crammer,6,veg,group_study,3,medium,committed,1,0,0,0,17,mechanical,cultural,Dont Care
1017,female,2,Civil,4,10,1,5,6,5,3,1,light_music,fan,regular,8,veg,last_minute,9,medium,single,0,0,1,1,17,software,cultural,Multilingual
1018,female,3,ECE,1,10,0,4,10,6,4,0,silence,cooler,exam_crammer,4,non_veg,last_minute,1,low,committed,0,0,0,0,12,civil,none,Tamil
1019,female,4,EEE,0,8,1,2,6,8,10,2,light_music,fan,regular,6,non_veg,last_minute,8,high,single,0,0,0,0,12,software,none,English
1020,male,1,Civil,23,8,1,3,5,9,9,6,silence,cooler,regular,4,non_veg,group_study,6,medium,single,0,0,0,0,11,software,both,Telugu
1021,female,3,ECE,23,8,1,2,0,9,10,8,cafe_noise,cooler,regular,2,non_veg,last_minute,5,high,committed,0,0,0,0,8,management,none,Dont Care
1022,male,1,Civil,1,9,1,0,6,3,4,1,silence,fan,regular,6,non_veg,early_planner,4,high,committed,1,0,1,0,16,civil,cultural,Multilingual
1023,female,2,Others,2,9,1,2,6,4,3,5,light_music,fan,exam_crammer,5,non_veg,last_minute,2,medium,single,0,0,1,1,16,electronics,cultural,Telugu
1024,female,2,AI,0,7,1,8,10,7,6,2,light_music,cooler,exam_crammer,1,non_veg,last_minute,9,high,single,0,1,0,1,9,robotics,cultural,Hindi
1025,female,4,Metallurgy,22,7,1,8,10,0,2,4,light_music,cooler,exam_crammer,1,non_veg,last_minute,9,high,committed,1,1,0,0,13,electronics,both,Multilingual
1026,female,2,MNC,4,8,1,3,9,5,4,8,cafe_noise,cooler,night_before,4,non_veg,last_minute,3,low,single,0,0,1,0,15,software,both,Hindi
1027,female,2,Civil,4,7,1,7,8,3,2,2,light_music,cooler,regular,9,veg,last_minute,2,medium,single,0,0,1,1,18,software,sports,Dont Care
1028,female,3,MNC,0,8,1,2,7,4,5,0,light_music,cooler,regular,6,veg,early_planner,10,high,single,0,0,0,1,12,electronics,none,Multilingual
1029,female,1,ME,22,7,1,9,6,10,10,4,cafe_noise,fan,exam_crammer,4,non_veg,early_planner,7,medium,single,0,0,0,0,11,robotics,none,English
1030,female,1,Civil,0,5,1,9,8,4,2,0,light_music,cooler,night_before,0,non_veg,last_minute,2,medium,single,0,1,0,0,12,robotics,sports,Telugu
1031,male,3,AI,0,7,1,8,7,1,3,7,light_music,cooler,regular,6,veg,group_study,6,high,committed,0,1,1,0,12,management,sports,Telugu
1032,male,4,MNC,0,10,1,4,10,7,9,6,cafe_noise,fan,exam_crammer,1,veg,last_minute,6,low,single,0,0,0,1,10,mechanical,none,Tamil
1033,female,1,Civil,2,6,1,9,9,1,2,10,silence,fan,regular,3,veg,last_minute,6,low,single,1,1,0,1,9,ai_ml,cultural,Multilingual
1034,female,2,CSE,22,9,1,0,3,3,4,1,light_music,cooler,regular,2,non_veg,last_minute,6,medium,committed,0,0,0,0,8,software,none,Multilingual
1035,female,1,Metallurgy,1,6,1,6,9,4,2,10,silence,fan,exam_crammer,0,veg,group_study,1,high,committed,0,1,1,0,15,robotics,cultural,Hindi
1036,male,2,AI,4,9,1,3,9,0,0,8,cafe_noise,fan,exam_crammer,4,veg,group_study,9,high,committed,0,0,0,1,10,civil,both,Multilingual
1037,female,4,MNC,1,10,1,4,9,5,7,4,light_music,fan,regular,2,veg,group_study,2,medium,single,0,0,0,1,8,management,none,Telugu
1038,male,3,AI,3,10,1,4,6,1,2,6,light_music,cooler,regular,7,non_veg,early_planner,9,medium,single,0,0,0,1,14,software,none,Multilingual
1039,male,1,ECE,0,10,0,0,8,4,6,3,cafe_noise,cooler,exam_crammer,1,veg,group_study,8,medium,committed,0,0,0,1,17,ai_ml,both,Tamil
1040,male,3,Metallurgy,23,8,1,0,1,5,4,0,light_music,cooler,regular,2,non_veg,early_planner,2,low,committed,1,0,0,0,15,civil,both,Tamil
1041,male,1,Civil,0,5,0,6,9,10,10,7,silence,fan,regular,4,veg,early_planner,1,medium,committed,0,1,0,0,12,software,both,Telugu
1042,male,2,Civil,22,9,1,4,6,7,7,0,silence,cooler,exam_crammer,2,veg,group_study,8,high,committed,0,0,0,0,14,management,both,Telugu
1043,female,3,Civil,22,9,1,2,0,8,8,2,cafe_noise,cooler,regular,7,non_veg,group_study,9,high,committed,0,0,0,0,15,management,both,Telugu
1044,female,1,Metallurgy,0,8,1,5,6,5,7,5,light_music,fan,regular,5,veg,group_study,8,high,single,0,0,0,0,13,robotics,sports,Multilingual
1045,female,2,CSE,1,8,1,5,6,4,3,7,light_music,cooler,night_before,4,veg,early_planner,3,low,committed,0,0,1,1,17,mechanical,sports,Multilingual
1046,female,3,ME,0,8,1,0,7,3,3,7,cafe_noise,fan,exam_crammer,3,veg,last_minute,8,high,single,1,0,1,0,13,electronics,both,English
1047,female,3,EEE,1,10,1,5,9,1,2,1,silence,fan,night_before,2,non_veg,group_study,2,medium,single,0,0,0,1,8,management,both,Dont Care
1048,male,1,Others,4,10,1,1,8,1,3,8,silence,fan,night_before,3,non_veg,group_study,6,medium,committed,0,0,1,0,16,civil,both,Dont Care
1049,female,1,MNC,1,8,1,2,8,6,5,3,cafe_noise,fan,night_before,4,non_veg,group_study,6,high,committed,0,0,0,1,14,electronics,both,Hindi
1050,female,1,CSE,0,10,0,3,6,4,5,3,light_music,cooler,regular,3,veg,early_planner,10,medium,committed,0,0,0,0,11,robotics,cultural,Multilingual
1051,male,2,MNC,0,6,1,10,9,6,8,1,silence,cooler,regular,10,non_veg,early_planner,7,high,committed,0,1,0,0,17,robotics,cultural,English
1052,female,1,Civil,23,5,0,9,4,10,9,0,light_music,cooler,night_before,3,veg,last_minute,9,high,committed,0,1,0,0,11,civil,both,English
1053,male,3,AI,0,8,1,0,6,0,1,9,silence,fan,night_before,3,veg,group_study,3,medium,single,0,0,1,0,20,ai_ml,both,Tamil
1054,female,3,MNC,3,10,1,1,10,0,0,6,light_music,cooler,night_before,1,veg,early_planner,2,low,committed,0,0,1,1,20,management,none,Multilingual
1055,male,1,Civil,3,10,1,4,8,4,6,10,silence,cooler,regular,7,veg,last_minute,2,medium,committed,0,0,1,1,14,civil,both,English
1056,female,1,MNC,1,9,1,5,8,1,3,9,light_music,fan,night_before,4,veg,group_study,4,medium,single,0,0,0,0,17,software,both,Tamil
1057,female,4,AI,0,7,1,8,7,7,7,2,cafe_noise,fan,night_before,4,veg,early_planner,10,medium,committed,0,0,0,0,10,ai_ml,sports,Hindi
1058,male,3,Civil,1,10,1,3,6,2,0,3,silence,cooler,exam_crammer,2,veg,group_study,0,high,committed,0,0,0,0,11,electronics,cultural,Tamil
1059,male,2,ME,22,9,1,3,6,0,1,10,cafe_noise,fan,exam_crammer,4,veg,group_study,9,medium,committed,0,0,0,0,10,software,both,Hindi
1060,male,4,CSE,1,8,0,4,10,1,1,8,silence,cooler,regular,3,non_veg,early_planner,2,medium,single,1,0,0,1,9,ai_ml,cultural,Dont Care
1061,male,1,ECE,1,8,1,3,6,9,10,5,silence,fan,exam_crammer,3,non_veg,early_planner,5,high,committed,1,0,0,1,17,electronics,cultural,Dont Care
1062,male,1,Others,22,7,0,7,9,9,10,0,silence,fan,exam_crammer,0,veg,early_planner,2,low,committed,0,1,0,0,10,software,none,Telugu
1063,male,3,Metallurgy,3,5,0,7,7,6,7,8,light_music,cooler,exam_crammer,2,non_veg,group_study,4,high,committed,0,1,0,1,11,mechanical,cultural,Telugu
1064,male,1,Others,1,9,0,3,10,5,3,8,silence,fan,regular,6,non_veg,group_study,8,high,committed,0,0,1,0,17,management,cultural,Tamil
1065,male,2,Others,4,8,1,2,8,7,9,4,cafe_noise,fan,exam_crammer,1,non_veg,last_minute,1,low,single,0,0,1,1,16,civil,both,Telugu
1066,female,3,Civil,4,5,1,9,9,6,5,7,light_music,fan,regular,5,veg,group_study,10,high,committed,0,1,1,0,12,civil,sports,Multilingual
1067,female,1,ME,3,7,1,7,6,9,7,6,light_music,cooler,night_before,2,non_veg,early_planner,1,low,single,0,1,0,1,10,civil,both,Tamil
1068,male,3,ECE,4,9,1,4,9,7,5,10,silence,cooler,exam_crammer,5,veg,group_study,5,high,committed,0,0,0,1,13,mechanical,both,English
1069,female,1,CSE,22,8,1,2,3,2,1,7,light_music,cooler,regular,5,non_veg,last_minute,5,low,committed,0,0,0,0,14,management,sports,Multilingual
1070,female,1,CSE,1,8,1,0,7,5,4,8,silence,fan,exam_crammer,1,non_veg,last_minute,10,medium,committed,0,0,1,1,12,ai_ml,sports,Tamil
1071,female,1,AI,1,7,1,7,6,6,4,1,cafe_noise,fan,night_before,4,non_veg,early_planner,10,medium,single,0,0,0,0,13,management,none,Dont Care
1072,female,2,Metallurgy,0,9,1,1,7,9,10,9,light_music,fan,regular,6,veg,early_planner,7,low,committed,0,0,0,0,15,robotics,sports,Hindi
1073,male,2,MNC,1,9,1,0,7,10,10,4,light_music,fan,regular,4,veg,last_minute,10,medium,committed,0,0,1,0,21,software,both,Telugu
1074,female,3,ME,4,9,1,0,6,0,0,7,cafe_noise,cooler,regular,6,veg,last_minute,1,medium,single,0,0,0,1,12,ai_ml,sports,Telugu
1075,male,1,MNC,4,9,1,2,7,0,0,2,cafe_noise,cooler,night_before,2,veg,last_minute,8,high,committed,0,0,0,1,14,robotics,sports,Telugu
1076,female,1,ECE,0,7,0,9,10,6,7,10,silence,fan,night_before,0,veg,early_planner,1,low,committed,0,1,0,1,16,civil,sports,Tamil
1077,female,2,Others,1,9,1,5,6,10,9,10,light_music,cooler,night_before,0,veg,last_minute,0,low,committed,0,0,0,1,8,civil,cultural,Multilingual
1078,female,1,CSE,23,7,1,6,4,2,0,5,cafe_noise,cooler,regular,10,veg,last_minute,9,high,committed,0,0,0,0,17,civil,none,Hindi
1079,male,2,ECE,3,7,0,9,8,2,4,5,light_music,cooler,night_before,0,veg,early_planner,1,medium,single,0,0,0,1,12,robotics,cultural,Telugu
1080,female,1,Others,0,8,1,1,10,4,5,6,cafe_noise,fan,exam_crammer,3,veg,group_study,6,high,single,0,0,0,0,11,software,cultural,Multilingual
1081,male,3,CSE,1,7,1,9,8,10,10,10,light_music,cooler,night_before,1,non_veg,group_study,7,high,single,1,1,0,0,8,software,none,English
1082,female,1,Others,0,10,1,1,10,5,7,2,cafe_noise,cooler,regular,6,non_veg,last_minute,4,low,committed,0,0,1,0,14,robotics,cultural,Dont Care
1083,male,1,Metallurgy,1,10,1,4,7,1,0,7,light_music,cooler,exam_crammer,3,veg,group_study,5,medium,committed,0,0,0,1,16,electronics,sports,English
1084,female,4,ME,2,10,1,2,6,2,3,7,silence,cooler,night_before,1,non_veg,group_study,0,high,committed,0,0,0,1,16,civil,none,Hindi
1085,male,2,ECE,22,8,1,5,8,5,7,8,light_music,cooler,exam_crammer,1,non_veg,group_study,5,high,committed,0,0,0,0,8,ai_ml,cultural,Telugu
1086,male,1,ECE,3,5,1,10,7,2,3,7,silence,fan,exam_crammer,1,veg,group_study,7,high,single,1,1,1,0,19,software,both,English
1087,female,1,EEE,2,9,1,2,9,4,4,2,silence,cooler,regular,9,veg,last_minute,2,medium,committed,0,0,0,1,15,management,cultural,Dont Care
1088,male,4,Civil,22,8,0,2,8,8,10,5,silence,cooler,exam_crammer,2,non_veg,group_study,10,high,single,0,0,0,0,8,robotics,both,Multilingual
1089,female,4,Metallurgy,1,10,1,5,10,2,4,8,light_music,fan,exam_crammer,1,veg,group_study,0,high,committed,1,0,1,1,11,electronics,sports,Multilingual
1090,female,2,Metallurgy,1,10,0,1,9,10,10,0,light_music,cooler,regular,9,non_veg,early_planner,10,high,committed,0,0,1,1,19,mechanical,both,English
1091,female,4,MNC,22,5,1,10,0,5,5,2,silence,fan,regular,3,veg,last_minute,3,medium,single,0,1,0,0,9,robotics,cultural,Telugu
1092,female,3,Others,2,6,1,6,10,10,10,1,cafe_noise,fan,regular,6,non_veg,early_planner,0,medium,committed,1,1,1,0,13,management,cultural,Dont Care
1093,female,4,Civil,2,7,1,6,7,4,2,7,light_music,fan,exam_crammer,1,veg,early_planner,7,high,single,0,0,0,1,11,electronics,cultural,Hindi
1094,female,3,ME,0,10,1,2,7,4,5,5,light_music,fan,exam_crammer,4,non_veg,last_minute,4,medium,single,0,0,0,1,12,mechanical,none,Telugu
1095,female,2,ME,0,6,1,6,6,10,10,9,light_music,cooler,exam_crammer,5,non_veg,group_study,0,high,committed,0,1,0,0,14,electronics,none,Tamil
1096,female,2,Metallurgy,4,7,0,9,8,5,7,10,light_music,cooler,regular,5,non_veg,early_planner,7,high,single,0,1,0,1,17,software,cultural,English
1097,female,2,ME,0,9,1,5,10,5,5,10,silence,fan,night_before,1,non_veg,last_minute,8,medium,single,0,0,1,0,21,robotics,cultural,Tamil
1098,female,2,EEE,23,10,1,1,8,0,2,7,cafe_noise,cooler,exam_crammer,1,veg,group_study,9,medium,committed,0,0,0,0,16,management,sports,English
1099,female,2,ECE,1,7,1,8,6,10,9,1,cafe_noise,fan,night_before,5,non_veg,last_minute,1,medium,single,0,0,0,1,15,mechanical,none,Hindi
1100,male,3,AI,4,7,0,9,8,8,10,10,cafe_noise,cooler,regular,5,veg,early_planner,8,high,single,0,1,1,1,13,electronics,none,Telugu
1101,male,3,MNC,1,7,1,10,7,4,3,5,cafe_noise,cooler,exam_crammer,1,non_veg,group_study,7,high,committed,0,0,1,0,22,mechanical,none,Dont Care
1102,female,2,Others,0,9,1,2,9,0,0,6,silence,fan,night_before,5,veg,group_study,6,high,single,0,0,0,1,16,ai_ml,both,Telugu
1103,female,4,Others,22,5,1,9,6,7,8,7,light_music,cooler,exam_crammer,5,non_veg,last_minute,2,low,committed,1,1,0,0,17,management,cultural,English
1104,female,1,CSE,0,9,1,0,8,6,7,8,light_music,fan,exam_crammer,2,veg,group_study,1,high,single,0,0,0,0,10,robotics,sports,Multilingual
1105,female,2,AI,4,10,0,4,8,6,6,4,silence,cooler,exam_crammer,4,non_veg,early_planner,6,medium,committed,0,0,1,0,16,software,sports,Tamil
1106,female,4,Metallurgy,1,10,0,4,9,4,6,10,light_music,cooler,night_before,5,non_veg,early_planner,4,low,committed,0,0,1,1,15,mechanical,cultural,Dont Care
1107,female,1,EEE,0,10,1,0,7,0,0,2,silence,cooler,regular,9,veg,early_planner,5,medium,committed,0,0,1,0,15,civil,cultural,Dont Care
1108,female,2,ECE,23,9,1,0,7,8,7,1,cafe_noise,fan,exam_crammer,5,non_veg,last_minute,3,medium,committed,0,0,0,0,11,electronics,sports,Telugu
1109,female,2,ECE,22,8,0,0,3,10,10,7,silence,fan,regular,4,non_veg,group_study,1,high,committed,0,0,0,0,10,civil,both,Telugu
1110,male,3,EEE,2,10,1,0,9,8,6,0,light_music,fan,regular,2,non_veg,group_study,8,medium,single,0,0,0,1,11,mechanical,sports,English
1111,female,1,Civil,0,7,0,7,7,7,5,9,light_music,cooler,night_before,3,non_veg,group_study,2,medium,committed,0,0,0,0,14,management,both,Multilingual
1112,male,1,CSE,3,7,1,10,7,4,3,5,light_music,fan,night_before,2,veg,early_planner,6,low,committed,0,1,0,1,9,civil,both,Tamil
1113,female,4,Others,2,5,1,9,7,2,1,1,cafe_noise,fan,regular,4,non_veg,group_study,7,medium,single,0,1,1,0,18,electronics,none,Multilingual
1114,female,3,AI,22,7,1,8,6,7,8,2,silence,fan,exam_crammer,3,veg,early_planner,1,medium,committed,1,0,0,0,13,mechanical,cultural,Dont Care
1115,male,3,ME,23,8,1,2,5,0,2,7,silence,cooler,night_before,6,veg,group_study,5,high,single,0,0,0,0,17,software,none,Multilingual
1116,female,3,CSE,1,8,0,0,8,2,2,0,light_music,cooler,exam_crammer,3,veg,early_planner,10,high,single,1,0,1,1,20,software,both,English
1117,male,3,AI,3,10,1,4,7,10,10,5,silence,cooler,exam_crammer,0,veg,group_study,7,medium,committed,1,0,0,1,16,robotics,sports,Multilingual
1118,female,1,MNC,4,9,1,2,6,6,6,2,light_music,cooler,exam_crammer,3,non_veg,last_minute,6,high,single,0,0,1,0,18,software,none,Tamil
1119,female,1,MNC,23,8,1,5,0,3,1,5,silence,fan,regular,4,non_veg,last_minute,10,medium,single,1,0,0,0,16,mechanical,sports,Dont Care
1120,male,2,CSE,22,9,1,2,10,6,5,2,cafe_noise,cooler,exam_crammer,3,veg,early_planner,2,medium,single,0,0,0,0,9,management,both,Hindi
1121,female,2,Metallurgy,23,8,1,1,3,10,9,10,cafe_noise,fan,regular,4,non_veg,early_planner,0,medium,committed,0,0,0,0,15,mechanical,sports,Dont Care
1122,male,3,AI,22,10,0,1,1,4,2,10,silence,cooler,regular,5,non_veg,group_study,5,medium,single,0,0,0,0,11,software,none,Hindi
1123,female,3,AI,1,8,1,0,7,5,3,7,cafe_noise,fan,exam_crammer,3,veg,group_study,7,medium,committed,0,0,1,0,17,ai_ml,both,Tamil
1124,male,3,EEE,23,10,0,4,10,6,6,4,cafe_noise,fan,exam_crammer,2,veg,last_minute,5,medium,committed,1,0,0,0,8,mechanical,cultural,Dont Care
1125,male,2,Metallurgy,22,9,1,0,6,9,7,3,cafe_noise,cooler,exam_crammer,1,veg,group_study,4,medium,single,0,0,0,0,14,robotics,none,Dont Care
1126,female,4,Others,23,8,1,4,6,6,6,8,light_music,fan,exam_crammer,0,non_veg,early_planner,10,medium,committed,0,0,0,0,15,ai_ml,none,Dont Care
1127,female,4,Others,2,5,0,10,9,6,8,4,silence,fan,regular,7,veg,early_planner,7,high,single,0,1,0,1,17,software,cultural,Dont Care
1128,male,2,ME,0,5,1,6,6,6,5,3,silence,fan,exam_crammer,4,veg,early_planner,1,low,single,0,1,1,0,17,management,both,English
1129,female,2,ECE,0,10,1,4,6,10,9,7,light_music,fan,exam_crammer,3,non_veg,early_planner,0,medium,committed,0,0,0,0,9,electronics,cultural,Telugu
1130,female,2,MNC,0,7,1,6,6,6,5,7,light_music,cooler,regular,7,non_veg,early_planner,0,medium,committed,0,0,1,1,13,mechanical,none,Dont Care
1131,female,2,Others,1,9,1,0,7,2,4,7,cafe_noise,cooler,night_before,4,non_veg,last_minute,3,medium,committed,0,0,1,0,13,electronics,both,English
1132,male,2,Metallurgy,0,9,1,4,9,2,4,3,silence,fan,night_before,0,non_veg,last_minute,5,low,single,0,0,0,0,14,civil,sports,Tamil
1133,male,2,AI,1,7,1,6,7,6,7,0,light_music,cooler,regular,4,non_veg,early_planner,8,high,single,0,0,1,0,10,robotics,none,Dont Care
1134,male,3,Others,1,5,1,6,9,1,1,1,cafe_noise,fan,night_before,4,non_veg,group_study,0,high,single,0,1,0,0,12,ai_ml,sports,Multilingual
1135,male,3,AI,22,10,1,3,3,1,1,3,silence,fan,regular,7,non_veg,early_planner,0,medium,committed,0,0,0,0,13,electronics,cultural,Dont Care
1136,male,3,Others,23,7,1,6,8,2,3,9,cafe_noise,cooler,exam_crammer,0,non_veg,last_minute,4,medium,single,1,1,0,0,12,robotics,both,Dont Care
1137,male,3,MNC,1,7,0,7,9,3,2,1,silence,fan,exam_crammer,0,veg,early_planner,9,high,single,0,0,1,1,15,electronics,cultural,Hindi
1138,male,2,Others,4,9,1,0,7,5,5,10,cafe_noise,cooler,night_before,3,non_veg,last_minute,4,low,single,0,0,1,0,13,electronics,sports,Multilingual
1139,male,4,Metallurgy,1,9,1,3,8,7,7,9,silence,fan,exam_crammer,5,veg,last_minute,4,high,single,0,0,0,0,14,robotics,none,Dont Care
1140,male,1,Others,4,7,1,6,7,9,8,2,silence,cooler,night_before,0,non_veg,early_planner,9,medium,committed,0,0,1,0,18,mechanical,both,Dont Care
1141,female,2,ECE,23,7,1,6,3,9,7,8,silence,cooler,night_before,3,non_veg,early_planner,5,medium,single,0,0,0,0,13,electronics,cultural,Dont Care
1142,male,1,MNC,1,9,1,5,10,6,4,8,silence,fan,exam_crammer,0,veg,group_study,7,high,committed,0,0,0,0,9,robotics,sports,English
1143,female,4,Metallurgy,2,8,1,1,8,3,4,10,cafe_noise,cooler,exam_crammer,3,non_veg,last_minute,2,medium,single,1,0,0,1,16,electronics,sports,Tamil
1144,female,3,EEE,4,7,1,8,7,1,3,8,light_music,fan,night_before,5,veg,group_study,8,medium,single,0,1,1,0,13,management,none,Hindi
1145,female,4,Metallurgy,1,9,1,4,6,1,1,6,silence,cooler,exam_crammer,5,non_veg,early_planner,0,medium,single,0,0,0,0,13,mechanical,sports,Dont Care
1146,male,2,ECE,0,5,1,10,10,3,3,3,silence,fan,regular,2,veg,last_minute,3,low,committed,1,1,0,0,10,management,both,Tamil
1147,male,3,MNC,23,7,0,9,9,5,6,0,silence,cooler,exam_crammer,2,veg,group_study,8,high,committed,1,1,0,0,9,management,sports,Hindi
1148,male,2,EEE,0,6,1,6,8,2,3,2,silence,cooler,exam_crammer,1,non_veg,group_study,7,high,committed,0,1,0,1,15,robotics,none,Hindi
1149,male,3,ECE,22,8,1,2,2,5,5,7,cafe_noise,cooler,regular,5,veg,group_study,9,high,single,0,0,0,0,11,management,cultural,Hindi
1150,female,1,ECE,22,9,1,2,10,4,3,3,light_music,fan,exam_crammer,3,veg,early_planner,8,medium,single,0,0,0,0,17,electronics,both,Dont Care
1151,male,1,CSE,2,6,1,6,10,4,3,9,light_music,cooler,exam_crammer,3,non_veg,early_planner,0,medium,committed,1,1,1,0,13,software,cultural,English
1152,male,1,MNC,2,10,0,4,9,1,3,9,light_music,fan,night_before,1,non_veg,early_planner,8,high,single,1,0,0,1,11,mechanical,cultural,Dont Care
1153,male,4,Metallurgy,23,10,0,2,6,7,7,1,cafe_noise,cooler,exam_crammer,1,veg,last_minute,2,low,single,0,0,0,0,15,electronics,sports,Dont Care
1154,male,2,AI,23,7,1,7,6,4,4,7,light_music,cooler,exam_crammer,8,non_veg,early_planner,10,high,committed,0,0,0,0,17,ai_ml,sports,Tamil
1155,male,4,AI,1,7,1,9,9,10,10,6,cafe_noise,fan,regular,4,veg,last_minute,9,medium,single,0,0,1,1,19,robotics,none,Telugu
1156,female,1,Metallurgy,3,7,1,7,8,1,1,10,cafe_noise,cooler,night_before,3,veg,group_study,8,high,single,0,0,1,1,16,electronics,sports,Telugu
1157,male,2,Metallurgy,22,7,0,10,5,6,7,9,silence,fan,night_before,0,veg,group_study,0,medium,single,0,0,0,0,12,mechanical,sports,Telugu
1158,female,1,MNC,0,9,0,4,10,8,6,8,cafe_noise,fan,night_before,2,non_veg,early_planner,0,low,committed,0,0,1,0,19,management,cultural,Tamil
1159,male,4,Metallurgy,1,6,1,7,8,8,8,1,light_music,fan,exam_crammer,5,non_veg,group_study,8,medium,single,0,1,0,0,14,mechanical,both,Multilingual
1160,female,4,CSE,1,8,1,1,8,0,0,4,light_music,fan,night_before,4,veg,early_planner,10,high,committed,0,0,0,0,11,ai_ml,sports,Tamil
1161,male,4,EEE,22,5,1,8,0,6,5,5,light_music,fan,regular,8,veg,last_minute,5,high,single,0,1,0,0,17,management,both,Hindi
1162,male,1,Metallurgy,23,7,1,8,3,8,10,1,silence,cooler,night_before,1,veg,group_study,3,medium,committed,0,0,0,0,11,ai_ml,sports,Dont Care
1163,female,2,AI,0,7,1,10,6,5,4,1,silence,fan,regular,5,non_veg,early_planner,6,low,committed,0,1,0,0,13,civil,sports,Multilingual
1164,female,2,Metallurgy,1,9,1,1,10,0,0,9,silence,cooler,night_before,0,veg,group_study,4,high,committed,0,0,1,0,20,civil,none,Hindi
1165,female,1,CSE,1,7,1,6,7,1,0,3,cafe_noise,fan,night_before,4,non_veg,group_study,9,high,committed,0,1,1,0,17,electronics,sports,Dont Care
1166,male,2,Others,2,8,1,4,6,3,4,7,light_music,fan,regular,7,veg,early_planner,6,high,single,0,0,1,1,13,software,none,Dont Care
1167,female,1,Others,1,5,1,8,9,3,1,10,cafe_noise,cooler,night_before,0,veg,group_study,7,medium,committed,0,1,0,0,8,management,cultural,Hindi
1168,male,2,ECE,1,7,1,8,8,1,1,4,cafe_noise,cooler,night_before,0,veg,group_study,7,high,single,1,0,0,0,14,mechanical,both,Tamil
1169,male,3,ME,1,5,1,6,8,7,8,8,light_music,fan,night_before,4,veg,group_study,0,medium,single,0,1,1,0,15,software,sports,Telugu
1170,female,3,EEE,1,7,1,9,6,1,0,3,silence,fan,exam_crammer,1,non_veg,group_study,7,medium,committed,1,1,0,1,11,management,none,Multilingual
1171,female,4,Civil,0,9,0,3,10,2,3,2,light_music,cooler,regular,2,non_veg,last_minute,5,high,single,0,0,0,0,8,management,cultural,Dont Care
1172,male,3,ECE,0,9,0,1,9,3,2,9,cafe_noise,cooler,night_before,0,non_veg,group_study,3,medium,single,0,0,0,0,11,management,sports,English
1173,male,3,Others,0,7,1,7,6,8,8,7,cafe_noise,fan,regular,8,non_veg,group_study,7,high,single,0,1,1,0,20,management,none,Dont Care
